cycle     valid           data_out_1        data_out_2  
0         0                     ----              ----  
1         0                     ----              ----  
2         0                     ----              ----  
3         1         0000000000010010  0000001111100111  
4         1         0001001101100001  1100011011001111  
5         1         0011101100000000  0000001010000000  
6         0                     ----              ----  
7         0                     ----              ----  
8         0                     ----              ----  
9         1         1100001101111010  0011001111110010  
10        1         0001011011110100  0000001010100110  
11        1         0000101110110001  1111111101011100  
12        1         0000101001010110  0001011010010010  
13        1         1100110101001110  0010011011100010  
14        1         1111100001101110  1111100100101001  
15        1         1111110001101000  1110010010011001  
16        1         0000111100011111  0001111101111010  
17        0                     ----              ----  
18        1         1111111110000101  0001010000000101  
19        1         1111111100100010  1110100101110100  
20        0                     ----              ----  
21        0                     ----              ----  
22        0                     ----              ----  
23        1         0000000000110110  1111111110010100  
24        1         0000011011010110  1111100101100010  
25        1         0000000111110010  0000000011011000  
26        1         1111111110010111  0000000110000001  
27        0                     ----              ----  
28        0                     ----              ----  
29        1         1101110000100100  1101010111000100  
30        1         1101111010011010  0000000100101100  
31        1         1100101101110100  1100111100000100  
32        1         0000010000010100  1111110001110011  
33        1         0001000111001100  1110000100110000  
34        1         0011001100001100  0000001111001000  
35        1         1110101011001100  1101101101011000  
36        0                     ----              ----  
37        1         0001001100001000  1111111010100100  
38        1         0011010010010110  1110001100111010  
39        1         1111111110001000  0000010010010010  
40        1         0000100100000110  0001001110110000  
41        1         1101110001000010  0011101010011110  
42        1         1111110000101000  1100110110001101  
43        1         0001111000000000  1101000000110000  
44        1         0000110111000000  0000101001010000  
45        0                     ----              ----  
46        1         1111101011111100  0010111100111011  
47        1         0001011001101100  1101111100000010  
48        1         1101110110100000  1101010101110110  
49        0                     ----              ----  
50        1         0001100100100011  1101001110000111  
51        0                     ----              ----  
52        0                     ----              ----  
53        1         1111111111000110  0000000001110100  
54        1         0000100010011101  1101001101001011  
55        1         1111110000011001  0000000010101011  
56        1         0000000100111011  1111111110100110  
57        0                     ----              ----  
58        1         0000000001101010  1111110100011010  
59        1         0000010110000000  0000000111100000  
60        1         1100101010111000  1110100110111000  
61        1         1111111110100000  0010011111000000  
62        1         0011000011100111  1111110100010011  
63        1         1111111011111000  1111111111011000  
64        0                     ----              ----  
65        1         0000000101001100  0000000111101000  
66        1         1110011011011000  1111111010110000  
67        1         1111111111011100  0000000001100110  
68        1         0000001010101100  0000001011011100  
69        1         0000110010011000  0000110110101111  
70        1         1111110010010101  1111110100101111  
71        1         1101011101110000  0001100001101000  
72        1         1110101001111100  0000011011110110  
73        1         1111111010100001  1111111110100101  
74        1         1111001001010010  0000001001101010  
75        0                     ----              ----  
76        1         0001001110110000  0001001010100010  
77        1         1111000010011101  0000000011000011  
78        1         1110001001110100  0001101100100000  
79        0                     ----              ----  
80        0                     ----              ----  
81        1         0000000001001011  1111111101101010  
82        1         1111111100000100  0000000000010010  
83        0                     ----              ----  
84        0                     ----              ----  
85        1         1111111110101100  1101101101000000  
86        0                     ----              ----  
87        1         1111110111111000  0000000111111001  
88        1         1100110000001110  0011000110010000  
89        0                     ----              ----  
90        1         1101010011000101  0011001100100010  
91        1         1111110111111000  1111111111010000  
92        1         0000001001100010  1111111111110001  
93        1         1111101101101110  1101000001111000  
94        0                     ----              ----  
95        1         0001101111000011  1101110111001101  
96        1         1111110101011000  1111000110000110  
97        0                     ----              ----  
98        1         1111111000101100  0000000100001100  
